iter	Passed	Remaining
0	132	132069
1	132	66342
2	133	44477
3	134	33500
4	135	26883
5	135	22467
6	136	19322
7	136	16973
8	137	15131
9	137	13658
10	138	12456
11	139	11466
12	139	10617
13	140	9887
14	140	9257
15	141	8717
16	142	8236
17	142	7800
18	143	7409
19	144	7072
20	145	6769
21	145	6487
22	146	6222
23	147	5979
24	147	5763
25	148	5560
26	149	5370
27	149	5194
28	150	5034
29	150	4881
30	151	4737
31	152	4603
32	152	4477
33	153	4360
34	154	4246
35	154	4139
36	155	4037
37	155	3940
38	156	3853
39	156	3767
40	158	3696
41	158	3617
42	159	3542
43	159	3470
44	160	3400
45	160	3334
46	161	3273
47	162	3213
48	162	3156
49	163	3099
50	163	3046
51	164	2994
52	164	2945
53	165	2897
54	165	2850
55	166	2805
56	166	2761
57	167	2720
58	168	2681
59	168	2642
60	169	2604
61	169	2569
62	170	2534
63	171	2504
64	171	2473
65	172	2441
66	173	2413
67	174	2386
68	174	2357
69	175	2330
70	176	2303
71	176	2279
72	177	2253
73	178	2228
74	178	2202
75	179	2180
76	180	2159
77	180	2135
78	181	2114
79	182	2094
80	182	2073
81	183	2054
82	183	2030
83	184	2011
84	185	1993
85	185	1974
86	186	1956
87	187	1938
88	187	1920
89	188	1901
90	188	1885
91	189	1870
92	190	1857
93	191	1841
94	191	1826
95	192	1811
96	193	1797
97	193	1781
98	194	1767
99	194	1753
100	195	1739
101	195	1725
102	196	1711
103	197	1697
104	197	1684
105	198	1671
106	198	1659
107	199	1646
108	199	1633
109	200	1622
110	201	1610
111	201	1598
112	202	1586
113	202	1575
114	203	1564
115	203	1553
116	204	1542
117	204	1531
118	205	1522
119	206	1511
120	206	1502
121	207	1492
122	207	1482
123	208	1472
124	209	1463
125	209	1453
126	210	1444
127	210	1434
128	211	1425
129	211	1417
130	212	1409
131	213	1401
132	213	1392
133	214	1384
134	214	1375
135	215	1367
136	215	1360
137	216	1353
138	217	1345
139	217	1337
140	218	1329
141	218	1321
142	219	1314
143	219	1307
144	220	1299
145	220	1292
146	221	1285
147	222	1278
148	222	1273
149	223	1266
150	224	1260
151	224	1253
152	225	1247
153	225	1240
154	226	1234
155	226	1227
156	227	1221
157	228	1215
158	228	1209
159	229	1203
160	229	1195
161	230	1189
162	230	1183
163	231	1178
164	231	1172
165	232	1166
166	232	1160
167	233	1155
168	233	1149
169	234	1144
170	234	1139
171	238	1149
172	246	1176
173	251	1194
174	252	1189
175	252	1183
176	253	1177
177	253	1171
178	254	1166
179	254	1161
180	255	1156
181	256	1150
182	256	1145
183	257	1140
184	257	1135
185	258	1129
186	258	1125
187	259	1120
188	259	1115
189	260	1110
190	261	1106
191	261	1101
192	262	1096
193	262	1091
194	263	1086
195	263	1082
196	264	1078
197	265	1073
198	265	1068
199	266	1064
200	266	1059
201	267	1055
202	267	1051
203	268	1046
204	268	1042
205	269	1038
206	270	1034
207	270	1031
208	271	1027
209	272	1023
210	272	1020
211	273	1016
212	274	1013
213	274	1008
214	275	1005
215	275	1001
216	276	998
217	277	994
218	277	989
219	278	986
220	278	982
221	279	978
222	279	974
223	280	970
224	280	967
225	281	963
226	281	959
227	282	956
228	283	953
229	283	950
230	284	947
231	285	943
232	285	940
233	286	937
234	287	934
235	287	931
236	288	928
237	289	925
238	289	921
239	290	918
240	290	916
241	291	913
242	292	910
243	292	906
244	293	903
245	294	901
246	294	898
247	295	895
248	295	892
249	296	889
250	297	887
251	297	883
252	298	881
253	298	878
254	299	875
255	300	872
256	300	869
257	301	866
258	301	863
259	302	861
260	303	858
261	303	855
262	304	852
263	304	850
264	305	847
265	306	844
266	306	841
267	307	839
268	307	836
269	308	833
270	308	831
271	309	828
272	310	826
273	310	823
274	311	821
275	312	819
276	313	817
277	313	814
278	314	812
279	315	810
280	315	808
281	316	805
282	317	803
283	317	801
284	318	798
285	318	796
286	319	793
287	320	791
288	320	789
289	321	787
